,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32
10,0.00047302246,0.003206253,-0.0041770935,-0.0038661957,-0.0029382706,6.1035156e-05,-0.0013046265,-0.003540039,-0.0016479492,-0.011781454,0.0057878494,-0.012565613,-0.0043411255,0.00091552734,-0.0018615723,0.004196167,0.010498047,-0.00024414062,0.0025558472,0.00015258789,-0.0015077591,0.005973816,-0.0011520386,0.012435913,-0.011459351,-0.019104004,-0.015319824,0.0070495605,-0.016296387,-0.03326416,-0.013427734,-0.06640625
11,0.0018157959,-0.0008225441,0.0063476562,0.005443573,-0.0037765503,-0.0077209473,0.0015869141,-0.0014190674,0.0036010742,-0.002166748,-0.0032653809,-0.0078048706,-0.009399414,0.0043640137,-0.012794495,0.0128479,0.00091552734,-0.00018310547,-0.006713867,0.007019043,0.00182724,0.007080078,0.012203217,-0.008514404,-0.0014953613,-0.015994549,0.019226074,-0.0292387,0.0113220215,-0.008239746,-0.03527832,-0.022460938
12,-0.00017929077,0.0025367737,0.00036621094,-0.0015335083,-0.0007696152,0.010055542,-0.0052490234,0.0014812946,-0.0024871826,0.0041503906,0.0003299713,0.0016174316,-0.008758545,0.005432129,-0.007751465,-0.0044555664,-0.01612854,-0.0022330284,0.00045013428,-0.0022354126,0.0012817383,0.004043579,-0.009102583,-0.0052108765,-0.00024414062,-0.020938873,0.03253174,-0.013763428,0.023101807,-0.012084961,0.005493164,0.048339844
13,0.00077819824,0.001121521,0.0030784607,-0.0029109716,0.0036268234,-0.0002746582,-0.00079345703,0.0073242188,0.0019226074,-0.0076293945,0.00869751,-0.0052719116,0.019165039,0.004638672,-0.003540039,0.009887695,0.0030517578,-0.0037002563,0.015182495,-0.005065918,0.0062179565,0.0052490234,-0.010009766,-0.003753662,1.5258789e-05,-0.014320374,0.00024414062,-0.030056,-0.03692627,-0.006210327,0.008666992,-0.171875
14,-0.0064811707,0.0009918213,0.005586624,0.0016841888,-0.0051498413,-0.005821228,0.010108948,0.00032043457,-0.000869751,-0.006374359,-0.00415802,0.011138916,0.011291504,0.0074920654,-0.020759583,0.016780853,-0.015594482,0.0031433105,-0.011436462,0.003692627,-0.0048217773,-0.011512756,-0.0028686523,-0.0020980835,-0.010955811,-0.002746582,0.0009365082,-0.01777649,-0.0025024414,-0.01977539,-0.046401978,0.106933594
15,0.002161026,0.0005722046,0.0028648376,0.0030703545,0.0012130737,-9.1552734e-05,0.0038452148,0.0068740845,0.0030593872,-0.0045776367,-0.002960205,0.007293701,0.0027160645,0.008239746,-0.0036773682,0.00015258789,0.005935669,-0.0069274902,-0.002960205,-0.005039215,-0.0037841797,-0.010864258,0.0031661987,-0.000579834,0.0039520264,0.015865326,-0.0068359375,-0.018188477,0.025535583,0.016021729,-0.034057617,-0.04638672
16,-0.0023498535,0.0031871796,0.00060272217,0.0049209595,-0.0015792847,-0.003868103,-0.006072998,-0.0012130737,-0.0015563965,0.0017089844,0.01266861,0.0028381348,-0.0073165894,0.0102005005,-0.016395569,-0.0025939941,0.008626938,-0.002166748,-0.0010375977,-0.0016326904,-0.0023498535,-0.008758545,0.0020217896,-0.009536743,-0.005706787,0.010108948,-0.010620117,0.0076904297,-0.018859863,-0.012054443,-0.011474609,0.060302734
17,0.003578186,0.0027999878,0.008682251,-0.0037078857,0.0018463135,-0.0016021729,0.010482788,0.005622864,-0.0074005127,-0.0035705566,0.01777649,-0.003876686,-0.0069885254,0.007221222,-0.008239746,0.010089874,0.0030517578,-0.0076789856,-0.0004272461,0.00579834,0.008201599,0.013916016,0.0071258545,-0.010238647,0.001534462,-0.0032653809,0.023529053,-0.031700134,0.01210022,0.0037994385,0.005126953,-0.047302246
18,0.0033874512,-0.0018920898,-0.0066986084,-0.00015258789,-0.0021133423,0.0037460327,-0.0006866455,0.0026855469,0.007978439,-0.010314941,-0.00081062317,0.0077819824,-0.005584717,0.010593414,-0.0031433105,-0.017349243,-0.0099487305,0.012008667,0.002822876,0.0097875595,-0.0135269165,-0.003692627,-0.001083374,0.0031204224,-0.010971069,-0.0010375977,0.0077209473,-0.007537842,-0.010681152,-0.045440674,0.039520264,-0.046142578
19,0.0012588501,-0.0011672974,0.00642395,0.006105423,-0.00090789795,0.004211426,-0.004333496,0.002166748,0.0028686523,0.002632141,0.005126953,0.0078125,0.0037841797,0.0022888184,-0.014381409,0.0023651123,-0.00491333,-0.00047302246,-0.00024414062,0.0068969727,-0.0014953613,-0.0012817383,0.004928589,0.007896423,0.005203247,0.0037994385,0.01939392,-0.0030212402,0.033935547,0.015258789,0.0115356445,0.013354182
20,-0.0006599426,-0.00075531006,0.007842541,-0.0031528473,0.0026474,-0.007171631,-0.0011901855,9.1552734e-05,0.0025920868,-0.003868103,0.0058288574,0.0033569336,-0.0055007935,0.022262573,-0.0032958984,0.0070495605,0.001449585,0.001083374,-0.005218506,0.0023374557,-0.005844116,0.0064849854,-0.0001449585,0.0024719238,-0.008117676,0.003967285,-0.0034179688,0.020729065,0.024658203,0.023284912,0.02041626,0.034179688
21,-0.0005340576,0.00061798096,0.0027923584,0.002951622,0.0002859831,-0.0015258789,0.0038149357,0.010498047,0.006678462,-0.0023040771,0.011734009,-0.00038146973,-0.012893677,-0.0045700073,0.005065918,-0.014587402,-0.0031433105,0.0012054443,0.0034179688,0.00157547,0.0065307617,0.007904053,-0.006225586,0.0025405884,0.022750854,0.001953125,0.009155273,0.004547119,0.021484375,-0.0030488968,-0.04207611,-0.107421875
22,-0.0012359619,-0.0021743774,0.007276535,0.0021305084,-0.00082826614,-0.0022392273,0.0015506744,-0.00018310547,-0.002067566,0.0018501282,-0.0037994385,-0.007446289,0.026809692,0.0049209595,0.010772705,0.016723633,0.013763428,0.0146484375,0.0073890686,-0.0017700195,-0.0065641403,-0.0068511963,0.0054016113,0.0008087158,-0.005126953,0.01651001,0.0039162636,0.0061950684,0.027435303,0.0069885254,-0.052734375,-0.014160156
23,0.0005874634,3.0517578e-05,-0.0014801025,-0.003578186,-0.0138168335,0.0013923645,-0.0065517426,0.0004119873,0.004180908,-0.00970459,-0.001373291,-0.010368347,-0.010437012,0.0020141602,0.008930206,-0.01682663,-0.0020484924,0.011701584,-0.0007019043,0.0069904327,-0.0019836426,-0.006866455,-0.0007505417,-0.0077285767,0.0064468384,0.013961792,0.006500244,-0.0012207031,-0.019412994,0.009277344,-0.017211914,-0.006591797
24,0.0005187988,0.00075912476,-0.00050091743,-0.0054969788,0.0061798096,0.00089263916,0.0075531006,-0.008834839,0.0061035156,-0.0042419434,0.000541687,-0.0076065063,0.0100803375,0.0008392334,0.014022827,-0.005432129,0.00630188,-9.1552734e-05,-0.01083374,-0.005645752,-0.0032348633,0.012008667,0.008125305,-0.0138607025,0.0023498535,0.013290405,-0.023406982,0.034591675,-0.0020141602,0.018127441,0.053955078,0.0345459
25,-0.0011978149,0.0017317533,-0.005874634,-0.0031738281,-0.00047397614,-7.6293945e-05,0.0024414062,-0.0032958984,-0.00157547,0.00088500977,-0.006210327,0.004173279,0.0047836304,-0.0002746582,0.0014038086,-0.005493164,0.0016479492,-0.0049438477,0.015808105,-0.0084991455,0.0043945312,-0.0059051514,-0.0010375977,-0.009735107,0.0073394775,-0.020225525,0.050628662,-0.0026855469,-0.001991272,0.00018310547,0.025268555,0.014892578
26,0.001663208,-0.0006980896,4.5776367e-05,0.004638672,0.0024886131,-0.0062949657,-6.1035156e-05,-0.003189087,-0.0021514893,-0.010513306,0.0022201538,-0.0023498535,0.00077056885,0.013244629,0.01260376,-0.00869751,0.004535675,0.00390625,0.00091552734,-0.005142212,-0.008514404,0.0023117065,0.0038452148,0.020324707,-0.0033187866,0.0077323914,0.03315735,0.009735107,-0.025527954,-0.0048828125,-0.046325684,0.07543945
27,0.0005017519,-0.0009384155,0.0042648315,-0.0014853477,-0.0065398216,0.0016078949,0.0064086914,-0.003540039,-0.0032043457,-0.008178711,0.0054035187,0.0063476562,-0.008681297,0.0008239746,0.0051879883,-0.010070801,0.0014724731,-0.0019836426,0.0022583008,-0.009002686,0.0065231323,-0.0050964355,-0.012756348,0.00024414062,0.0051116943,0.015533447,0.0039367676,-0.0012664795,-0.0119018555,0.0033569336,-0.01449585,-0.10058594
28,0.0010223389,-0.0021924973,-0.004058838,0.0055909157,0.00289917,-0.0038909912,-7.6293945e-06,-0.0044021606,0.00038909912,0.0067749023,0.003742218,-0.0048217773,0.013969421,-0.018148422,-0.00491333,0.00030517578,0.007637024,4.7683716e-05,-0.0022201538,0.0067825317,-0.0015048981,-0.0021362305,0.008358002,-0.00045776367,0.004333496,-0.007873535,0.017333984,0.018005371,0.017181396,-0.02911377,-0.03552246,-0.07336426
29,0.00048065186,0.0005950928,-0.008300781,0.0038452148,0.0037841797,0.00076293945,0.0033569336,-0.0013122559,-0.0074157715,0.008865356,-0.0009765625,0.0073394775,0.0067873,-0.013450623,0.022766113,0.006164551,0.0033721924,-0.0073242188,-6.1035156e-05,-0.0004119873,-0.0019989014,0.0050201416,-0.009979248,-0.00793457,-0.010810852,-0.0105896,0.003326416,0.0051574707,-0.005645752,0.0030212402,0.009277344,0.018188477
30,-0.00022125244,0.0014939308,-0.0051116943,0.0028305054,0.00048065186,0.00052547455,-0.007003784,0.004725933,-0.002670288,0.00182724,-0.008659363,-0.012451172,0.007019043,-0.01361084,-0.0050964355,0.0040283203,-0.006286621,0.004638672,-0.00044250488,-0.0004272461,-0.007118225,-0.014587402,-0.0049791336,0.008296967,-0.0039978027,-0.0072784424,-0.014221191,-0.012420654,-0.016117096,-0.008239746,-0.0647583,0.03930664
31,-0.00093889236,0.003911972,-0.00011444092,0.0016098022,-0.004094124,0.007522583,-0.0010490417,0.002016604,0.0015861988,-0.015472412,0.0037193298,-0.0032157898,-0.004081726,0.011047363,-0.007537842,0.0025405884,-0.0036315918,0.0008087158,-0.008407593,-0.0069274902,0.0036506653,0.00035095215,-0.0069274902,-0.0032787323,-0.007873535,0.02319336,0.013793945,-0.0067443848,0.03881836,0.033935547,0.096343994,0.044433594
32,0.0005950928,0.00063323975,-0.004508972,0.0028686523,0.0020484924,-0.0056152344,-0.009094238,0.0029859543,-0.0029411316,0.003540039,-0.006354332,-0.003972292,-0.010547638,-0.0032303333,0.0005187988,0.0042877197,-0.0041275024,-0.0030670166,-0.0017280579,0.0022201538,0.010196686,0.0077056885,-0.009933472,-0.015396118,0.003967285,-0.0020751953,-0.019039154,0.010955811,0.023498535,-0.018737793,-0.0009765625,0.0007324219
