,subspace,n_components,lambda,layer,score
305,full,1,0.3,15,0.23
306,xs,1,0.3,16,0.4
307,full,1,0.3,16,0.29
308,xs,1,0.3,17,0.24
309,full,1,0.3,17,0.28
310,xs,1,0.3,18,0.26
311,full,1,0.3,18,0.24
312,xs,1,0.3,19,0.25
313,full,1,0.3,19,0.28
314,xs,1,0.3,20,0.25
315,full,1,0.3,20,0.22
316,xs,1,0.3,21,0.18
317,full,1,0.3,21,0.29
318,xs,1,0.3,22,0.17
319,full,1,0.3,22,0.28
320,xs,1,0.3,23,0.25
321,full,1,0.3,23,0.26
322,xs,1,0.35,1,0.29
323,full,1,0.35,1,0.29
324,xs,1,0.35,2,0.28
325,full,1,0.35,2,0.26
326,xs,1,0.35,3,0.25
327,full,1,0.35,3,0.25
328,xs,1,0.35,4,0.25
329,full,1,0.35,4,0.25
330,xs,1,0.35,5,0.29
331,full,1,0.35,5,0.34
332,xs,1,0.35,6,0.26
333,full,1,0.35,6,0.27
334,xs,1,0.35,7,0.25
335,full,1,0.35,7,0.22
336,xs,1,0.35,8,0.26
337,full,1,0.35,8,0.25
338,xs,1,0.35,9,0.28
339,full,1,0.35,9,0.22
340,xs,1,0.35,10,0.26
341,full,1,0.35,10,0.25
342,xs,1,0.35,11,0.3
343,full,1,0.35,11,0.27
344,xs,1,0.35,12,0.24
345,full,1,0.35,12,0.24
346,xs,1,0.35,13,0.21
347,full,1,0.35,13,0.32
348,xs,1,0.35,14,0.33
349,full,1,0.35,14,0.27
350,xs,1,0.35,15,0.24
351,full,1,0.35,15,0.23
352,xs,1,0.35,16,0.37
353,full,1,0.35,16,0.26
354,xs,1,0.35,17,0.24
355,full,1,0.35,17,0.26
356,xs,1,0.35,18,0.29
357,full,1,0.35,18,0.26
358,xs,1,0.35,19,0.27
359,full,1,0.35,19,0.25
360,xs,1,0.35,20,0.22
361,full,1,0.35,20,0.24
362,xs,1,0.35,21,0.23
363,full,1,0.35,21,0.28
364,xs,1,0.35,22,0.19
365,full,1,0.35,22,0.28
366,xs,1,0.35,23,0.23
367,full,1,0.35,23,0.27
368,xs,2,0.0,1,0.33
369,full,2,0.0,1,0.26
370,xs,2,0.0,2,0.33
371,full,2,0.0,2,0.24
372,xs,2,0.0,3,0.23
373,full,2,0.0,3,0.3
374,xs,2,0.0,4,0.19
375,full,2,0.0,4,0.28
376,xs,2,0.0,5,0.26
377,full,2,0.0,5,0.33
378,xs,2,0.0,6,0.05
379,full,2,0.0,6,0.26
380,xs,2,0.0,7,0.18
381,full,2,0.0,7,0.2
382,xs,2,0.0,8,0.26
383,full,2,0.0,8,0.26
384,xs,2,0.0,9,0.26
385,full,2,0.0,9,0.28
386,xs,2,0.0,10,0.28
387,full,2,0.0,10,0.25
388,xs,2,0.0,11,0.35
389,full,2,0.0,11,0.3
390,xs,2,0.0,12,0.2
391,full,2,0.0,12,0.36
392,xs,2,0.0,13,0.23
393,full,2,0.0,13,0.27
394,xs,2,0.0,14,0.25
395,full,2,0.0,14,0.23
396,xs,2,0.0,15,0.29
397,full,2,0.0,15,0.28
398,xs,2,0.0,16,0.37
399,full,2,0.0,16,0.28
400,xs,2,0.0,17,0.2
401,full,2,0.0,17,0.22
402,xs,2,0.0,18,0.32
403,full,2,0.0,18,0.28
404,xs,2,0.0,19,0.21
405,full,2,0.0,19,0.25
